Title;ISSN;Categories;Top Level;Primary Level;Secondary Level;Preassigned
2015 IEEE Online Conference on Green Communications, OnlineGreenComm 2015;-;"Computer Networks and Communications; Education; Human-Computer Interaction";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 IEEE International Symposium on Software Reliability Engineering Workshops, ISSREW 2015;-;"Information Systems; Information Systems and Management; Software";Physical Sciences and Engineering;NA;NA;
2015 IEEE PES Innovative Smart Grid Technologies Latin America, ISGT LATAM 2015;-;Electrical and Electronic Engineering;Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
2015 IEEE International WIE Conference on Electrical and Computer Engineering, WIECON-ECE 2015;-;"Computer Networks and Communications; Computer Science Applications; Energy Engineering and Power Technology";Physical Sciences and Engineering;NA;NA;
2015 IEEE MIT Undergraduate Research Technology Conference, URTC 2015;-;"Ceramics and Composites; Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Process Chemistry and Technology; Surfaces, Coatings and Films";Physical Sciences and Engineering;NA;NA;
2015 IEEE Nanotechnology Materials and Devices Conference, NMDC 2015;-;"Artificial Intelligence; Computer Vision and Pattern Recognition; Control and Systems Engineering; Information Systems";Physical Sciences and Engineering;NA;NA;
2015 IEEE Nuclear Science Symposium and Medical Imaging Conference, NSS/MIC 2015;-;"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Mechanics of Materials";Physical Sciences and Engineering;NA;NA;
2015 IEEE Power, Communication and Information Technology Conference, PCITC 2015 - Proceedings;-;"Computer Networks and Communications; Engineering; Instrumentation; Media Technology";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 IEEE Recent Advances in Intelligent Computational Systems, RAICS 2015;-;"Computer Networks and Communications; Information Systems";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 IEEE UP Section Conference on Electrical Computer and Electronics, UPCON 2015;-;"Computer Networks and Communications; Information Systems";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 IEEE/ACM International Conference on Computer-Aided Design, ICCAD 2015;-;Computer Networks and Communications;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 IEEE Scientific Visualization Conference, SciVis 2015 - Proceedings;-;"Computer Networks and Communications; Computer Science; Energy Engineering and Power Technology; Hardware and Architecture; Renewable Energy, Sustainability and the Environment";Physical Sciences and Engineering;NA;NA;
2015 IEEE Symposium on Communications and Vehicular Technology in the Benelux, SCVT 2015;-;"Architecture; Building and Construction; Civil and Structural Engineering; Mechanics of Materials";Physical Sciences and Engineering;NA;NA;
2015 IEEE/CIC International Conference on Communications in China, ICCC 2015;-;Aerospace Engineering;Physical Sciences and Engineering;Engineering;Aerospace Engineering;
2015 IEEE Workshop on Computational Intelligence: Theories, Applications and Future Directions, WCI 2015;-;"Computer Networks and Communications; Control and Systems Engineering; Energy Engineering and Power Technology; Renewable Energy, Sustainability and the Environment";Physical Sciences and Engineering;NA;NA;
2015 International Conference on Computing, Communication and Security, ICCCS 2015;-;"Computer Graphics and Computer-Aided Design; Human-Computer Interaction; Software";Physical Sciences and Engineering;Computer Science;Computer Graphics and Computer-Aided Design;
2015 International Conference on Condition Assessment Techniques in Electrical Systems, CATCON 2015 - Proceedings;-;"Automotive Engineering; Computer Networks and Communications";Physical Sciences and Engineering;Engineering;Automotive Engineering;
2015 IEEE/SICE International Symposium on System Integration, SII 2015;-;"Computer Networks and Communications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software";Physical Sciences and Engineering;NA;NA;
2015 International Conference on 3D Imaging, IC3D 2015 - Proceedings;-;"Computer Science Applications; Control and Systems Engineering; Hardware and Architecture; Software";Physical Sciences and Engineering;NA;NA;
2015 International Conference on Computer Science and Applications, CSA 2015;-;"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Renewable Energy, Sustainability and the Environment; Waste Management and Disposal";Physical Sciences and Engineering;NA;NA;
2015 International Conference on Computing and Network Communications, CoCoNet 2015;-;"Computational Mathematics; Computer Networks and Communications; Computer Science Applications; Control and Optimization; Numerical Analysis";Physical Sciences and Engineering;NA;NA;
2015 International Conference on Connected Vehicles and Expo, ICCVE 2015 - Proceedings;-;"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
2015 International Conference on Computing, Management and Telecommunications, ComManTel 2015;-;"Communication; Computer Networks and Communications; Electrical and Electronic Engineering";Physical Sciences and Engineering;NA;NA;
2015 International Conference on Control Instrumentation Communication and Computational Technologies, ICCICCT 2015;-;"Computer Networks and Communications; Signal Processing";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 International Conference on Emerging Research in Electronics, Computer Science and Technology, ICERECT 2015;-;"Computer Networks and Communications; Control and Optimization; Modeling and Simulation";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 International Conference on Energy, Power and Environment: Towards Sustainable Growth, ICEPE 2015;-;"Hardware and Architecture; Software";Physical Sciences and Engineering;Computer Science;Hardware and Architecture;
2015 International Conference on Control, Communication and Computing India, ICCC 2015;-;"Computer Science Applications; Cultural Studies; Human-Computer Interaction";Physical Sciences and Engineering;NA;NA;
2015 International Conference on Information and Communication Technologies, ICICT 2015;-;"Electrical and Electronic Engineering; Materials Science; Polymers and Plastics";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
2015 International Conference on Memristive Systems, MEMRISYS 2015;-;"Electrical and Electronic Engineering; Polymers and Plastics";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
2015 International Conference on Optoelectronics and Microelectronics, ICOM 2015;-;"Artificial Intelligence; Control and Systems Engineering";Physical Sciences and Engineering;Computer Science;Artificial Intelligence;
2015 International Conference on Information Technology Systems and Innovation, ICITSI 2015 - Proceedings;-;"Artificial Intelligence; Automotive Engineering; Human Factors and Ergonomics; Strategy and Management; Transportation";Physical Sciences and Engineering;NA;NA;
2015 International Conference on Sustainable Mobility Applications, Renewables and Technology, SMART 2015;-;"Electronic, Optical and Magnetic Materials; Process Chemistry and Technology";Physical Sciences and Engineering;Materials Science;Electronic, Optical and Magnetic Materials;
2015 International Conference on Microwave, Optical and Communication Engineering, ICMOCE 2015;-;"Computer Networks and Communications; Control and Systems Engineering; Hardware and Architecture; Instrumentation";Physical Sciences and Engineering;NA;NA;
2015 International Conference on Open Source Software Computing, OSSCOM 2015;-;"Computer Networks and Communications; Information Systems and Management; Safety, Risk, Reliability and uality";Physical Sciences and Engineering;NA;NA;
2015 International Symposium on Agents, Multi-Agent Systems and Robotics, ISAMSR 2015;-;Computer Networks and Communications;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 International Conference on ReConFigurable Computing and FPGAs, ReConFig 2015;-;"Automotive Engineering; Electrical and Electronic Engineering; Mechanical Engineering";Physical Sciences and Engineering;NA;NA;
2015 International Symposium on Antennas and Propagation, ISAP 2015;-;Computer Networks and Communications;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 International Symposium on Advanced Computing and Communication, ISACC 2015;-;"Control and Systems Engineering; Mechanical Engineering; Modeling and Simulation";Physical Sciences and Engineering;NA;NA;
2015 International Symposium on Computers in Education, SIIE 2015;-;Software;Physical Sciences and Engineering;Computer Science;Software;
2015 International Symposium on Mathematical Sciences and Computing Research, iSMSC 2015 - Proceedings;-;"Human-Computer Interaction; Software";Physical Sciences and Engineering;Computer Science;Human-Computer Interaction;
2015 International Symposium on Micro-NanoMechatronics and Human Science, MHS 2015;-;"Computer Science Applications; Information Systems; Software";Physical Sciences and Engineering;Computer Science;Computer Science Applications;
2015 JIEEEC 9th Jordanian International Electrical and Electronics Engineering Conference, JIEEEC 2015;-;Software;Physical Sciences and Engineering;Computer Science;Software;
